e,word
599,달
600,던지다
601,참
602,공간
603,이곳
604,딸
605,마지막
606,벌이다
607,병원
608,자세
609,강조하다
610,경찰
611,맡다
612,저녁
613,한편
614,그러면
615,기자
616,넓다
617,시험
618,잠
619,주로
620,훨씬
621,면
622,통일
623,들어서다
624,건강
625,가깝다
626,건물
627,시설
628,외국
629,밑
630,어른
631,주변
632,대신
633,원인
634,팔다
635,차례
636,군
637,열심히
638,일하다
639,재산
640,조금
641,팀
642,부모
643,약간
644,언어
645,요구하다
646,올라가다
647,첫
648,감독
649,그날
650,사실
651,자주
652,당하다
653,삼다
654,약
655,기간
656,담배
657,일으키다
658,일단
659,할아버지
660,조직
661,태어나다
662,공장
663,벌써
664,즐기다
665,지
666,환자
667,변하다
668,사고
669,그래도
670,아무리
671,맞추다
672,쌀
673,일반
674,재미있다
675,가르치다
676,대화
677,막다
678,올해
679,형
680,달리
681,버리다
682,붙이다
683,인물
684,늘
685,모두
686,전국
687,마치다
688,전
689,다만
690,도움
691,가정
692,걸다
693,빠지다
694,멀다
695,버스
696,오늘날
697,잠시
698,농업
699,대다
700,식
701,의견
702,무대
703,사진
704,주장
705,표현하다
706,인하다
707,이상하다
708,제일
709,붙다
710,아마
711,얘기하다
712,잇다
713,조금
714,경기
715,목적
716,태도
717,남성
718,주위
719,대책
720,그만
721,발생하다
722,다리
723,아무
724,어쩌다
725,재료
726,각각
727,결코
728,옮기다
729,항상
730,해
731,잃다
732,자유
733,책임
734,바뀌다
735,비슷하다
736,심하다
737,경쟁
738,달러
739,사랑하다
740,아니
741,여름
742,자라다
743,회
744,구체적
745,기회
746,실시하다
747,지구
748,번째
749,소비자
750,싫다
751,규모
752,기준
753,말
754,반드시
755,셈
756,갖추다
757,그러니까
758,받아들이다
759,값
760,현장
761,건설
762,꺼내다
763,노동자
764,동네
765,언제나
766,완전히
767,자동차
768,전하다
769,존재하다
770,개월
771,맞다
772,별로
773,어린이
774,정하다
775,한마디
776,유지하다
777,이데올로기
778,공부하다
779,대중
780,늘어나다
781,닦다
782,만
783,말씀
784,괜찮다
785,눈물
786,각종
787,빛
788,아니
789,피하다
790,거치다
791,나아가다
792,야
793,지식
794,현재
795,여전히
796,주인
797,발견하다
798,선
799,인류
800,특징
801,드리다
802,선수
803,형식
804,마련하다
805,반
806,발표하다
807,주제
808,걸치다
809,겪다
810,관점
811,귀
812,기본
813,미터
814,사라지다
815,어떠하다
816,감정
817,기억
818,놈
